region,soil,species,2011,2016,2021,2026,2031,2041,2051,2061
1,1,1,537682,571665,562297,576463,579464,556015,519849,483629
1,1,2,472403,499493,535403,571199,609017,684088,817094,1002376
1,1,3,243100,255370,253857,249480,248646,235080.7,201960.4,188251.3
1,3,1,17375.7,15616.9,15922.5,15497.7,15289.3,16768.7,20557.2,23634.6
1,3,2,11552.2,10007.8,10745.9,11172.8,12194.6,13892.7,16201.3,17291.4
1,3,3,11301.9,10110,9786.1,9527.7,9612.6,9272,8886.1,7458.4
1,2,1,133648.6,138301.7,146506.4,146364.1,138453.3,115702.5,100088.4,74460.9
1,2,2,67084.3,70894.9,79641.7,81608.8,87219.3,98444.8,114440.4,122144
1,2,3,59546.6,55361.4,57611,56487.6,54796.3,50589.2,45983.2,40645.1
2,1,1,367478,407065,441686,478452,510157,555566,596259,643900
2,1,2,116794,124416,120523,125317,131821,141864,154451,168145
2,1,3,85489.6,87688.1,88848.2,91018.2,93392.3,95180.1,96745.2,97806.4
2,3,1,29237.9,31138.5,33217.2,35298.7,37546.7,43471.9,49680.4,54735.8
2,3,2,16097.5,17586.2,19110.3,20654.6,22173.3,26548.3,31136.9,33752.5
2,3,3,14284.2,14592.9,15306.6,15814.2,15931.4,17536,19679.4,21051
2,2,1,96337.1,107484,118314,123105,121676,115821,102161,83518.3
2,2,2,25583.7,31858.2,36756.8,38984.6,42577.6,51391.3,60252.7,69059.9
2,2,3,42131,47001.7,52691,55815.9,57050,59743.6,60631.1,62622.6