"","kptyy","Nuts3Nimi","count","keski","med","var"
"1",5,"Aland",1,46.07474,46.07474,NA
"2",4,"Aland",2,41.4417431374611,41.4417431374611,0.271965646018894
"3",2,"Aland",2,35.2094474382295,35.2094474382295,0.013521905209874
"4",1,"Aland",1,34.3560967261897,34.3560967261897,NA
"5",3,"Aland",1,41.2175293261898,41.2175293261898,NA
"6",2,"Keski-Suomi",81,46.8789692165954,42.0451130006927,205.113370960972
"7",3,"Keski-Suomi",227,50.0048512892826,45.0561759172449,225.06581282188
"8",1,"Keski-Suomi",7,47.392626888207,45.5007660261898,164.560159024715
"9",5,"Keski-Suomi",122,49.1174680544767,41.0729846487324,325.169980163207
"10",4,"Keski-Suomi",242,52.2854614074742,45.1733730951202,322.024881516019
"11",3,"Pohjois-Karjala",314,48.840188251264,41.0729846487324,262.751929443973
"12",5,"Pohjois-Karjala",240,50.17869764213,41.9470709408627,336.630093639767
"13",2,"Pohjois-Karjala",96,45.9785525112595,41.9890930479064,149.891259642996
"14",4,"Pohjois-Karjala",288,51.6733887004977,42.2495480006927,327.204032916318
"15",1,"Pohjois-Karjala",27,44.7201340215856,44.4657160261898,83.2536456659358
"16",4,"Etela-Savo",151,52.6373788980266,45.2115137742729,302.945026965495
"17",3,"Etela-Pohjanmaa",168,56.015496094628,50.6734621616285,288.459777563117
"18",4,"Etela-Pohjanmaa",376,57.9738845539283,59.6729793006617,294.084965190161
"19",3,"Pohjanmaa",104,52.9309171788406,46.8455718303039,235.559529928154
"20",2,"Pohjanmaa",33,52.0017896925189,41.6506587895154,275.668198262567
"21",4,"Pohjanmaa",93,60.2570132008614,60.1991496041224,267.496087590027
"22",5,"Pohjanmaa",92,55.6639255244915,47.8861130006927,278.187745376081
"23",5,"Etela-Pohjanmaa",227,60.9358834150012,64.6595146022194,343.271388858651
"24",2,"Etela-Pohjanmaa",56,49.5913902804067,43.2250734286389,202.58677166385
"25",6,"Etela-Pohjanmaa",25,53.4679540144063,47.8861130006927,330.457488736864
"26",3,"Pohjois-Savo",239,52.4446055366852,44.4579726554813,301.128377569511
"27",5,"Pohjois-Savo",117,52.8950873789182,43.3783553844612,395.495757499678
"28",2,"Pohjois-Savo",115,48.7563185903772,44.0624202765852,191.077903041167
"29",4,"Pohjois-Savo",196,54.9636834408052,46.6227096183571,360.193027227908
"30",1,"Etela-Pohjanmaa",4,49.095380755296,46.0141849063875,114.865651143264
"31",6,"Keski-Suomi",8,37.7208562121921,38.3811532392144,92.1381406435534
"32",1,"Pohjois-Savo",16,47.8410449318459,43.0692638761898,144.333282390528
"33",6,"Pohjanmaa",7,56.6170233392109,43.4270451231748,595.809359806921
"34",6,"Pohjois-Savo",6,57.7500534928446,58.198942253885,453.094900294016
"35",6,"Pohjois-Karjala",7,44.0803175554488,38.7585761158354,227.37722488331
"36",4,"Keski-Pohjanmaa",118,55.2652476332801,46.5538331634412,309.619802457985
"37",3,"Keski-Pohjanmaa",75,50.5542700977978,44.6151926554813,244.331459540367
"38",5,"Keski-Pohjanmaa",163,58.1909728903193,47.8861130006927,411.270462331013
"39",6,"Keski-Pohjanmaa",11,46.5275078662126,45.0240230006927,379.700693260933
"40",4,"Pohjois-Pohjanmaa",925,52.4908995653966,43.0099087895154,297.381657891998
"41",3,"Pohjois-Pohjanmaa",549,52.7943600640044,44.0501753788374,292.773938764468
"42",5,"Pohjois-Pohjanmaa",499,50.5877801320768,41.0729846487324,348.241959162489
"43",2,"Keski-Pohjanmaa",14,55.1628243949585,56.0727521556203,309.027109969678
"44",5,"Kainuu",355,49.869752671509,41.8531364972641,279.750284569506
"45",3,"Kainuu",270,48.4596477210755,40.9669826894187,254.957656780905
"46",4,"Kainuu",536,50.1730979591175,42.5804663837228,263.108258603269
"47",2,"Pohjois-Pohjanmaa",154,52.2693977330271,43.3783553844612,266.189968390755
"48",3,"Etela-Savo",234,49.1523804814879,41.772304192577,254.263559737583
"49",3,"Uusimaa",40,42.6039650738615,39.4790996487324,130.527981920887
"50",4,"Uusimaa",23,50.1509393505532,43.3783553844612,409.32550807878
"51",2,"Uusimaa",43,47.9118450418758,39.0378546487324,296.008550674035
"52",2,"Varsinais-Suomi",35,51.4142379012131,45.1733730951202,301.190267614057
"53",1,"Uusimaa",1,35.6275224502692,35.6275224502692,NA
"54",4,"Varsinais-Suomi",30,53.9630921698729,50.1950698274675,323.434367385797
"55",5,"Uusimaa",20,51.3279870365344,43.7293049587368,458.761171676542
"56",3,"Varsinais-Suomi",102,48.4135495521474,42.5069769401461,248.508343514164
"57",5,"Varsinais-Suomi",34,54.7286290951762,47.0148973533801,477.694530981292
"58",1,"Varsinais-Suomi",6,49.1390122654949,47.721613823957,216.196223722381
"59",3,"Kymenlaakso",48,48.8322608652161,40.0873683874611,277.250813126888
"60",5,"Kymenlaakso",16,63.4688921228177,70.9048268581197,362.3061318331
"61",4,"Kymenlaakso",39,52.1862042126589,38.7585761158354,422.731615447404
"62",5,"Kanta-Hame",14,44.6651359419429,44.7265476922306,166.921531572775
"63",2,"Kanta-Hame",36,49.0598772760545,43.2133130006927,245.76723488385
"64",2,"Kymenlaakso",17,45.9148223677505,41.0521430006927,205.260378538902
"65",3,"Kanta-Hame",75,48.356633599485,40.8946339273834,282.429422834638
"66",4,"Kanta-Hame",25,51.2776241905901,44.2210253788374,251.444483816413
"67",2,"Paijat-Hame",28,52.361935375911,42.5487052261898,436.276071119012
"68",6,"Kymenlaakso",1,50.2661321779326,50.2661321779326,NA
"69",3,"Etela-Karjala",67,51.8641261713648,43.30659,311.701065805079
"70",4,"Etela-Karjala",50,54.2474374854843,41.0729846487324,477.764033215527
"71",5,"Paijat-Hame",9,44.2821869460265,41.0729846487324,175.354135722162
"72",4,"Paijat-Hame",22,45.7610785380032,37.3591544289556,288.835676894059
"73",1,"Kymenlaakso",3,56.4319558375706,39.1611098261897,1090.41673590161
"74",2,"Etela-Karjala",27,45.2750337673921,39.7531279261897,205.546286640414
"75",6,"Varsinais-Suomi",4,34.49124278414,33.6683974502692,157.269095052512
"76",1,"Kanta-Hame",4,59.5117914905081,60.384886037401,726.739879533264
"77",3,"Paijat-Hame",36,47.7329863387334,41.7544303844612,243.416710337514
"78",5,"Etela-Karjala",35,53.672385814457,41.0729846487324,471.37838434584
"79",3,"Satakunta",144,52.7798716260252,47.2484079359873,267.984912910575
"80",5,"Satakunta",82,52.3447959100783,43.252050253818,396.47572862599
"81",2,"Satakunta",82,56.0308329237495,52.1327647499809,301.689738736665
"82",1,"Paijat-Hame",3,45.11242614902,39.7222346487324,226.482287240441
"83",3,"Pirkanmaa",142,50.7644556351563,45.2450411278056,245.183057997042
"84",4,"Pirkanmaa",124,53.3441931798165,48.4879588677107,361.009988318291
"85",6,"Kanta-Hame",1,38.7585761158354,38.7585761158354,NA
"86",1,"Etela-Karjala",7,52.8762331560232,42.9569052261898,439.411531471172
"87",6,"Etela-Karjala",1,52.4761926554813,52.4761926554813,NA
"88",4,"Satakunta",102,54.8499321652668,52.7563330372718,285.495027665333
"89",2,"Pirkanmaa",69,48.7647169223754,42.9715644261898,225.430219711203
"90",1,"Satakunta",5,53.064436478738,49.0157137376902,127.77300303734
"91",5,"Etela-Savo",54,51.6323838131573,41.0729846487324,318.522964585661
"92",5,"Pirkanmaa",76,51.6593286445682,49.7104759172449,266.598560136611
"93",1,"Pirkanmaa",5,56.1755269716814,52.8382831455669,297.478358171256
"94",1,"Etela-Savo",14,50.7550607466508,47.4000015976024,317.833634504929
"95",2,"Etela-Savo",97,48.0584524156045,42.0451130006927,223.562412005895
"96",6,"Pirkanmaa",5,38.2363571471923,33.5004724502692,43.9780183784584
"97",6,"Satakunta",2,45.3218889475257,45.3218889475257,130.746562211084
"98",6,"Pohjois-Pohjanmaa",50,46.1105521432808,37.9955077080399,290.064384388683
"99",2,"Kainuu",73,47.1837868681299,41.0857553844612,203.783174970691
"100",6,"Kainuu",14,43.9648616504939,37.2365144289556,234.277190585291
"101",1,"Kainuu",8,43.0902684098048,43.9382066553255,50.8619319333289
"102",1,"Pohjois-Pohjanmaa",12,50.26474962975,42.8575353053255,228.506471047941
"103",4,"Lappi",484,45.0049573038843,40.4792091091475,139.684586817011
"104",5,"Lappi",274,44.267817704495,39.7404340758053,163.772018210723
"105",3,"Lappi",159,42.1210589861996,38.7115320494731,92.4984210840459
"106",2,"Lappi",84,44.9810263878417,42.6326053696954,128.043693484636
"107",1,"Lappi",9,45.906168325411,43.3783553844612,135.75809090544
"108",6,"Lappi",4,37.4762730836182,36.5131322498712,23.5496949431999
